,row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type,conceptid
0,548,591,RLE [Temperature],,carevue,chartevents,,,,
1,554,597,RUE [Temperature],,carevue,chartevents,,,,
2,384,417,Inspired Gas Temp,,carevue,chartevents,,,,
3,391,424,LLE [Temp],,carevue,chartevents,,,,
4,394,427,LUE [Temp],,carevue,chartevents,,,,
5,598,645,Skin [Temperature],,carevue,chartevents,,,,
6,626,674,Temp. Site,,carevue,chartevents,,,,
7,627,676,Temperature C,,carevue,chartevents,,,,
8,628,677,Temperature C (calc),,carevue,chartevents,,,,
9,629,678,Temperature F,,carevue,chartevents,,,,
10,630,679,Temperature F (calc),,carevue,chartevents,,,,
11,1053,3460,Humidity Temp [Meas],,carevue,chartevents,,,,
12,1740,5632,R BREAST TEMP/COLOR,,carevue,chartevents,,,,
13,1760,5652,PICC Attempt,,carevue,chartevents,,,,
14,1875,5772,FLAP TEMP/COLOR,,carevue,chartevents,,,,
15,3708,2668,TEMP GRAFT,,carevue,chartevents,,,,
16,3850,2882,FLAP COLOR/TEMP,,carevue,chartevents,,,,
17,2816,3652,Temp Axillary [F],,carevue,chartevents,,,,
18,2817,3653,Temp CoB 1/W/C,,carevue,chartevents,,,,
19,2818,3654,Temp Rectal [F],,carevue,chartevents,,,,
20,2819,3655,Temp Skin [C],,carevue,chartevents,,,,
21,2820,3656,Temp/Iso/Warmer [Type],,carevue,chartevents,,,,
22,4103,6277,PICC line attempt,,carevue,chartevents,,,,
23,4912,8449,Patient controlled analgesia (PCA) [Attempt],,carevue,chartevents,,,,
24,5007,8537,"Temp/Iso/Warmer [Temperature, degrees C]",,carevue,chartevents,,,,
25,4298,6643,Temp Rectal,,carevue,chartevents,,,,
26,13042,224027,Skin Temperature,Skin Temp,metavision,chartevents,Skin - Assessment,,Text,
27,14731,227054,TemperatureF_ApacheIV,TemperatureF_ApacheIV,metavision,chartevents,Scores - APACHE IV (2),?F,Numeric,
28,14732,227055,TempScore_ApacheIV,TempScore_ApacheIV,metavision,chartevents,Scores - APACHE IV (2),None,Numeric,
29,13867,225571,Number of attempts required to place line (A-Line),Number of attempts required to place line (A-Line),metavision,chartevents,Arterial Line Insertion,,Text,
30,15520,228392,Alsius Bath Temp,Alsius Bath Temp,metavision,chartevents,Treatments,?C,Numeric,
31,13206,223955,Temporary Pacemaker Type,Temp Pacemaker Type,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
32,13207,223956,Temporary Pacemaker Mode,Temp Pacemaker Mode,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
33,13209,223958,Temporary Venticular Sens Threshold mV,Temp Venticular Sens Threshold mV,metavision,chartevents,Cardiovascular (Pacer Data),mV,Numeric,
34,13210,223960,Temporary Venticular Stim Threshold mA,Temp Venticular Stim Threshold mA,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,
35,13211,223961,Temporary Pacemaker Wire Condition,Temp Pacemaker Wire Condition,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
36,13212,223962,Temporary Pacemaker Wires Venticular,Temp Pacemaker Wires Venticular,metavision,chartevents,Cardiovascular (Pacer Data),None,Numeric,
37,13213,223963,Temporary Pacemaker Wires Ground,Temp Pacemaker Wires Ground,metavision,chartevents,Cardiovascular (Pacer Data),None,Numeric,
38,13235,224674,Changes in Temperature,Changes in Temperature,metavision,chartevents,Toxicology,,Text,
39,15583,228478,Number of Attempts (Gen Proc),Number of Attempts (Gen Proc),metavision,chartevents,Generic Proc Note,None,Numeric,
40,13126,224351,Number of attempts required to place line (CVL),Number of attempts required to place line (CVL),metavision,chartevents,CVL Insertion,,Text,
41,13323,224390,Temporary Atrial Sens,Temp Atrial Sens,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
42,14080,225623,Number of attempts require to place line (PA line),Number of attempts require to place line (PA line),metavision,chartevents,PA Line Insertion,,Text,
43,13290,224751,Temporary Pacemaker Rate,Temp Pacemaker Rate,metavision,chartevents,Cardiovascular (Pacer Data),bpm,Numeric,
44,13291,224752,Temporary Atrial Sens Threshold mV,Temp Atrial Sens Threshold mV,metavision,chartevents,Cardiovascular (Pacer Data),mV,Numeric,
45,13292,224753,Temporary Atrial Sens Setting mV,Temp Atrial Sens Setting mV,metavision,chartevents,Cardiovascular (Pacer Data),mV,Numeric,
46,13293,224754,Temporary Atrial Stim Threshold mA,Temp Atrial Stim Threshold mA,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,
47,13294,224755,Temporary Atrial Stim Setting mA,Temp Atrial Stim Setting mA,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,
48,13301,224767,RUE Temp,RUE Temp,metavision,chartevents,Cardiovascular,,Text,
49,13302,224769,LUE Temp,LUE Temp,metavision,chartevents,Cardiovascular,,Text,
50,13303,224771,RLE Temp,RLE Temp,metavision,chartevents,Cardiovascular,,Text,
51,13304,224773,LLE Temp,LLE Temp,metavision,chartevents,Cardiovascular,,Text,
52,14972,227627,Arctic Sun/Alsius Set Temp,Arctic Sun/Alsius Set Temp,metavision,chartevents,Treatments,?C,Numeric,
53,14973,227628,Arctic Sun Water Temp,Arctic Sun Water Temp,metavision,chartevents,Treatments,?C,Numeric,
54,14975,227630,Arctic Sun Temp #1 Location,Arctic Sun Temp #1 Location,metavision,chartevents,Routine Vital Signs,,Text,
55,14976,227631,Arctic Sun Temp #2 Location,Arctic Sun Temp #2 Location,metavision,chartevents,Routine Vital Signs,,Text,
56,14977,227632,Arctic Sun/Alsius Temp #1 C,Arctic Sun/Alsius Temp #1 C,metavision,chartevents,Routine Vital Signs,?C,Numeric,
57,14978,227634,Arctic Sun/Alsius Temp #2 C,Arctic Sun/Alsius Temp #2 C,metavision,chartevents,Routine Vital Signs,?C,Numeric,
58,13441,224837,Temporary Ventricular Sens Setting mV,Temp Ventricular Sens Setting mV,metavision,chartevents,Cardiovascular (Pacer Data),mV,Numeric,
59,13442,224838,Temporary Ventricular Stim Setting mA,Temp Ventricular Stim Setting mA,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,
60,13443,224839,Temporary Pacemaker Wires Atrial,Temp Pacemaker Wires Atrial,metavision,chartevents,Cardiovascular (Pacer Data),None,Numeric,
61,13462,224866,Temporary Atrial Capture,Temp Atrial Capture,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
62,14305,226011,Number of attempts (PACEN),Number of attempts (PACEN),metavision,chartevents,Paracentesis,None,Numeric,
63,13408,224584,Number of attempts required to place line (PICC),Number of attempts required to place line (PICC),metavision,chartevents,PICC Line Insertion,,Text,
64,13423,224642,Temperature Site,Temp Site,metavision,chartevents,Routine Vital Signs,,Text,
65,13436,224663,PCA attempt,PCA attempt,metavision,chartevents,Pain/Sedation,None,Numeric,
66,15236,228242,Pt. Temperature (BG) (SOFT),Pt. Temperature (BG) (SOFT),metavision,chartevents,Labs,None,Numeric,
67,12737,220194,Temporary AV interval,Temp AV interval,metavision,chartevents,Cardiovascular (Pacer Data),msec,Numeric,
